id,group
mexican,mexican
japanese,japanese
greek,greek
portuguese,portuguese
chinese,chinese
spanish,spanish
american,american
thai,thai
hawaiian,hawaiian
english,english
french,french
german,german
cuban,cuban
indian,indian
italian,italian
hungarian,hungarian
irish,irish
swedish,swedish
